,Cities,Country,Latitude,Date,Max. Temperature,Humidity,Cloudiness,Wind Speed
36,aykhal,RU,65.95,9/9/2018,-3.03,100,44,1.21
37,puerto ayora,EC,-0.74,9/9/2018,27,57,20,8.7
38,port elizabeth,US,39.31,9/9/2018,17.2,96,90,6.2
39,khandyga,RU,62.65,9/9/2018,1.88,100,92,3.16
40,port lincoln,AU,-34.72,9/9/2018,11.28,100,0,5.21
41,jamestown,AU,-33.21,9/9/2018,2.73,74,0,1.66
42,saint george,GR,39.45,9/9/2018,20,60,20,1.5
43,sola,FI,62.78,9/9/2018,9,87,0,0.5
44,tuatapere,NZ,-46.13,9/9/2018,7.93,100,88,2.06
45,carnarvon,ZA,-30.97,9/9/2018,-3.53,66,0,1.61
46,butaritari,KI,3.07,9/9/2018,26.48,100,88,4.11
47,huarmey,PE,-10.07,9/9/2018,21.03,58,0,2.11
48,searcy,US,35.25,9/9/2018,23.6,81,90,3.1
49,dingle,PH,11,9/9/2018,22.33,91,24,1.16
50,tiznit,MA,29.7,9/9/2018,19.68,87,0,1.36
51,kaitangata,NZ,-46.28,9/9/2018,5.78,94,76,2.61
52,atuona,PF,-9.8,9/9/2018,25.58,100,68,7.16
53,deep river,CA,46.1,9/9/2018,17,48,1,3.6
54,ouadda,CF,8.07,9/9/2018,19.68,95,24,1.36
55,saint-philippe,CA,45.36,9/9/2018,17,41,1,3.6
56,vaini,IN,15.34,9/9/2018,19.53,98,76,0.61
57,beloha,MG,-25.17,9/9/2018,19.68,93,92,4.91
58,pangnirtung,CA,66.15,9/9/2018,4,93,90,2.6
59,kafanchan,NG,9.58,9/9/2018,20.08,98,76,1.61
60,new norfolk,AU,-42.78,9/9/2018,12,54,75,5.1
61,ulundi,ZA,-28.29,9/9/2018,3.58,84,0,1.96
62,crixas,BR,-14.55,9/9/2018,29.93,34,0,1.46
63,sitka,US,37.17,9/9/2018,24.08,89,0,2.76
64,cherskiy,RU,68.75,9/9/2018,13.58,54,0,5.01
65,coihaique,CL,-45.58,9/9/2018,14,44,0,3.1
66,capanema,BR,-25.67,9/9/2018,30,28,0,2.6
67,east london,ZA,-33.02,9/9/2018,14.93,100,92,8.06
68,irbit,RU,57.67,9/9/2018,2.48,89,8,1.86
69,qax,AZ,41.42,9/9/2018,23,60,75,5.1
70,hilo,US,19.71,9/9/2018,29.4,67,1,5.1
71,chimbote,PE,-9.08,9/9/2018,18.83,84,8,2.96
72,bakchar,RU,57.02,9/9/2018,8.03,94,20,2.66
73,georgetown,GY,6.8,9/9/2018,25,94,75,7.2
74,kodiak,US,39.95,9/9/2018,24.4,58,20,4.1
75,sokoni,CD,-12.89,9/9/2018,21.68,46,20,1.91
76,sao filipe,CV,14.9,9/9/2018,24.83,100,92,14.91
77,roma,IT,41.89,9/9/2018,23,77,0,2.1
78,pangody,RU,65.85,9/9/2018,2.58,97,88,9.06
79,leh,IN,34.16,9/9/2018,0.98,98,92,0.81
80,suntar,RU,62.16,9/9/2018,2.43,84,64,1.21
81,woodbridge,GB,52.09,9/9/2018,17,70,20,5.1
82,anklam,DE,53.86,9/9/2018,17.43,85,0,3.41
83,caborca,MX,30.58,9/9/2018,32.48,44,8,3.11
84,mount gambier,AU,-37.83,9/9/2018,12.08,92,92,1.66
85,kinshasa,CD,-4.32,9/9/2018,23,88,92,1.5
86,lebu,ET,8.96,9/9/2018,15,77,40,2.1
87,salalah,OM,17.01,9/9/2018,26,88,90,2.1
88,mont-dore,NC,-22.23,9/9/2018,18,82,20,2.21
89,sikonge,TZ,-5.63,9/9/2018,22,49,20,4.56
90,iqaluit,CA,63.75,9/9/2018,6,70,75,8.2
91,nikolskoye,RU,59.7,9/9/2018,11,100,0,2.71
92,taltal,CL,-25.41,9/9/2018,19.98,68,0,1.46
93,busselton,AU,-33.64,9/9/2018,16.23,98,64,8.76
94,victoria,BN,5.28,9/9/2018,26,94,75,0.5
95,la ronge,CA,55.1,9/9/2018,13,100,90,2.1
96,bosaso,SO,11.28,9/9/2018,30.38,91,0,1.06
97,wageningen,NL,51.98,9/9/2018,20,68,90,3.1
98,laiyang,CN,36.98,9/9/2018,12.33,89,20,2.11
99,bintulu,MY,3.17,9/9/2018,24,94,75,2.1
100,tursunzoda,UZ,38.51,9/9/2018,20,42,0,1
101,khatanga,RU,71.98,9/9/2018,1.48,84,80,1.41
102,tallahassee,US,30.44,9/9/2018,33,67,90,3.1
103,dina,PK,33.03,9/9/2018,24.33,94,0,1.21
104,bluff,AU,-23.58,9/9/2018,11.13,42,0,3.81
105,cabo san lucas,MX,22.89,9/9/2018,30,66,75,5.1
106,tezu,IN,27.93,9/9/2018,18.98,91,64,0.71
107,tual,ID,-5.67,9/9/2018,26.78,98,0,8.36
108,ginda,IN,30.69,9/9/2018,12.18,100,24,0.71
109,vero beach,US,27.64,9/9/2018,30.6,60,1,5.1
110,isiro,CD,2.77,9/9/2018,20.18,98,32,0.96
111,mataura,NZ,-46.19,9/9/2018,6.23,96,92,1.86
112,alta floresta,BR,-9.87,9/9/2018,34.83,28,24,1.51
113,hofn,IS,64.25,9/9/2018,9.18,100,92,2.11
114,san patricio,PY,-26.98,9/9/2018,24.83,62,0,1.56
115,tuktoyaktuk,CA,69.44,9/9/2018,5,93,90,9.3
116,matasaru,RO,44.72,9/9/2018,17,87,0,0.5
117,shache,CN,38.42,9/9/2018,16.18,46,0,4.21
118,isangel,VU,-19.55,9/9/2018,21.83,100,0,1.91
119,leshukonskoye,RU,64.9,9/9/2018,5.88,90,68,2.11
120,bethel,US,60.79,9/9/2018,12.2,66,1,3.6
121,torbay,CA,47.66,9/9/2018,12,76,75,3.1
122,liverpool,GB,53.41,9/9/2018,16,77,20,4.1
123,plettenberg bay,ZA,-34.05,9/9/2018,12.88,100,0,2.06
124,pokrovka,RU,43.95,9/9/2018,1.83,76,0,0.81
125,ganzhou,CN,25.86,9/9/2018,19.33,78,36,1.21
126,fuzhou,CN,26.08,9/9/2018,25,69,75,5
127,nanortalik,GL,60.14,9/9/2018,5.63,95,8,3.66
128,pouembout,NC,-21.12,9/9/2018,17.63,70,0,1.66
129,aklavik,CA,68.22,9/9/2018,8,70,75,5.7
130,mazabuka,ZM,-15.86,9/9/2018,21.18,30,0,4.86
131,wembley,GB,51.55,9/9/2018,18,68,32,5.1
132,namibe,AO,-15.19,9/9/2018,17.78,100,24,1.86
133,tazovskiy,RU,67.47,9/9/2018,2.13,100,92,8.66
134,calolbon,PH,13.6,9/9/2018,26.73,100,88,1.76
135,nyuksenitsa,RU,60.41,9/9/2018,3.78,88,0,1.31
136,peniche,PT,39.36,9/9/2018,18,88,75,3.6
137,varnamo,SE,57.19,9/9/2018,15,87,88,2.6
138,petropavlovsk-kamchatskiy,RU,53.05,9/9/2018,11,100,90,1
139,belmonte,PT,40.36,9/9/2018,17.78,63,0,2.01
140,rawson,AR,-43.3,9/9/2018,16.83,27,0,6.71
141,ca mau,VN,9.18,9/9/2018,25.88,97,80,2.96
142,havre-saint-pierre,CA,50.23,9/9/2018,11,71,20,8.7
143,nueve de julio,AR,-31.67,9/9/2018,22.13,35,0,1.96
144,la sarre,CA,48.8,9/9/2018,15.18,67,0,3.11
145,udachnyy,RU,66.42,9/9/2018,-6.88,77,0,1.01
146,yar-sale,RU,66.83,9/9/2018,3.43,100,24,10.71
147,airai,TL,-8.93,9/9/2018,13.38,81,0,0.81
148,bonavista,CA,48.65,9/9/2018,12.88,87,32,7.06
149,uvalde,US,29.21,9/9/2018,27.2,95,90,3.1
150,viedma,AR,-40.81,9/9/2018,16.63,34,8,5.56
151,severo-kurilsk,RU,50.68,9/9/2018,10.23,100,88,2.01
152,traverse city,US,44.76,9/9/2018,21.1,37,40,5.7
153,fortuna,ES,38.18,9/9/2018,25,78,40,2.6
154,arraial do cabo,BR,-22.97,9/9/2018,23,60,0,1.5
155,saint-joseph,FR,43.56,9/9/2018,23,77,0,1.5
156,griffith,AU,-34.29,9/9/2018,6.58,81,0,1.21
157,margate,AU,-43.03,9/9/2018,12,54,75,5.1
158,pozoblanco,ES,38.38,9/9/2018,22,56,20,1.5
159,sur,OM,22.57,9/9/2018,27.83,92,0,1.86
160,geraldton,CA,49.72,9/9/2018,17,45,75,7.7
161,mokrousovo,RU,55.81,9/9/2018,6.78,85,20,5.26
162,labelle,US,26.76,9/9/2018,31.1,67,75,5.7
163,rayachoti,IN,14.06,9/9/2018,21.23,91,68,2.06
164,storslett,NO,69.77,9/9/2018,5.08,88,0,0.86
165,jacareacanga,BR,-6.22,9/9/2018,28.98,74,44,1.31
166,wangkui,CN,46.83,9/9/2018,8.93,65,88,3.41
167,chokurdakh,RU,70.62,9/9/2018,6.13,94,56,5.06
168,sao joao da barra,BR,-21.64,9/9/2018,24,57,20,5.1
169,praia da vitoria,PT,38.73,9/9/2018,24,100,20,2.26
170,les cayes,HT,18.19,9/9/2018,29.23,92,48,5.26
171,saint marys,US,41.43,9/9/2018,11.7,92,90,4.6
172,juripiranga,BR,-7.37,9/9/2018,26,69,20,6.7
173,yellowknife,CA,62.45,9/9/2018,9,49,20,2.1
174,mount isa,AU,-20.73,9/9/2018,15,19,0,2.6
175,flinders,AU,-34.58,9/9/2018,8,81,20,1.5
176,sangar,RU,63.92,9/9/2018,1.98,87,92,5.16
177,ust-tsilma,RU,65.44,9/9/2018,6.48,97,88,2.56
178,bubaque,GW,11.28,9/9/2018,24,94,90,5.1
179,touros,BR,-5.2,9/9/2018,26.03,70,0,7.36
180,hithadhoo,MV,-0.6,9/9/2018,28.43,100,100,4.71
181,wasilla,US,61.58,9/9/2018,16.1,45,1,0.96
182,nuuk,GL,64.17,9/9/2018,3,100,90,3.6
183,ribeira grande,PT,38.52,9/9/2018,25,73,20,1
184,dikson,RU,73.51,9/9/2018,1.78,100,68,4.46
185,hirara,JP,24.8,9/9/2018,27.18,100,92,4.21
186,dubbo,AU,-32.25,9/9/2018,7,87,0,2.1
187,north myrtle beach,US,33.83,9/9/2018,30,65,1,4.1
188,hamilton,BM,32.3,9/9/2018,28,69,75,3.6
189,kanker,IN,20.27,9/9/2018,22.48,94,80,1.31
190,clyde river,CA,70.47,9/9/2018,6,60,90,3.1
191,vostok,RU,46.45,9/9/2018,-2.23,72,0,0.76
192,vao,EE,59.1,9/9/2018,15.03,89,48,1.66
193,marsa matruh,EG,31.35,9/9/2018,26,78,20,2.6
194,poronaysk,RU,49.22,9/9/2018,6.23,82,0,2.66
195,tommot,RU,58.97,9/9/2018,-3.78,79,12,1.86
196,huron,US,44.36,9/9/2018,23.9,62,90,8.2
197,haines junction,CA,60.75,9/9/2018,10.23,55,80,1.41
198,veraval,FR,49.65,9/9/2018,17,82,0,1.5
199,ust-nera,RU,64.57,9/9/2018,5.08,97,92,1.21
200,joaquim gomes,BR,-9.14,9/9/2018,24,78,40,3.6
201,saint-augustin,FR,44.83,9/9/2018,20,88,0,2.1
202,svetlaya,RU,46.54,9/9/2018,9.68,100,0,3.86
203,kangaatsiaq,GL,68.31,9/9/2018,3.83,100,92,4.76
204,husavik,CA,50.56,9/9/2018,26.68,54,68,9.06
205,baragua,CU,21.7,9/9/2018,30.33,80,88,3.31
206,matara,PE,-13.74,9/9/2018,16.83,25,24,1.11
207,nurota,UZ,40.56,9/9/2018,25,20,76,7.2
208,souillac,FR,45.6,9/9/2018,21,83,0,1.5
209,outjo,NA,-20.11,9/9/2018,9.08,39,0,2.66
210,klichka,RU,50.44,9/9/2018,-0.48,82,12,1.31
211,codrington,AU,-28.95,9/9/2018,9.23,83,0,1.26
212,henties bay,NA,-22.12,9/9/2018,13.53,92,0,1.66
213,auki,NG,12.18,9/9/2018,19.28,96,0,1.31
214,launceston,AU,-41.43,9/9/2018,7,87,0,5.7
215,oudtshoorn,ZA,-33.59,9/9/2018,7,87,0,1
216,hede,SE,60.45,9/9/2018,12,93,80,2.1
217,dudinka,RU,69.41,9/9/2018,2.03,96,88,4.86
218,sabang,PH,13.72,9/9/2018,25.03,100,8,1.71
219,boueni,YT,-12.9,9/9/2018,25,78,20,2.6
220,bredasdorp,ZA,-34.53,9/9/2018,7,87,12,1.5
221,abu kamal,SY,34.45,9/9/2018,23.03,37,0,2.26
222,whitehorse,CA,60.72,9/9/2018,12,50,40,2.6
223,ponta do sol,BR,-20.63,9/9/2018,23.33,39,0,1.21
224,moron,VE,10.49,9/9/2018,27.88,64,8,2.06
225,faya,SA,18.39,9/9/2018,21,82,0,1.5
226,zhigansk,RU,66.77,9/9/2018,3.53,88,92,5.66
227,naze,NG,5.43,9/9/2018,24,94,75,1
228,fort nelson,CA,58.81,9/9/2018,8,70,75,1.5
229,berlevag,NO,70.86,9/9/2018,10,81,0,7.2
230,pucara,BO,-16.6,9/9/2018,13,26,40,4.6
231,comodoro rivadavia,AR,-45.87,9/9/2018,15,38,0,5.1
232,milkovo,BG,41.53,9/9/2018,23,46,20,5.7
233,port hawkesbury,CA,45.62,9/9/2018,15,58,75,2.6
234,conde,BR,-11.81,9/9/2018,24.43,79,0,4.21
235,bitung,ID,1.44,9/9/2018,23,100,20,0.5
236,yomou,GN,7.57,9/9/2018,23.23,90,92,2.36
237,shu,KZ,43.6,9/9/2018,14.73,39,0,4.51
238,thompson,CA,55.74,9/9/2018,14,87,90,3.1
239,zuwarah,LY,32.93,9/9/2018,28.43,87,36,7.46
240,amurzet,CN,47.69,9/9/2018,0.28,71,0,2.51
241,laguna,MX,27.52,9/9/2018,34,41,75,1.5
242,rockingham,GB,52.52,9/9/2018,17,71,0,6.7
243,akureyri,IS,65.68,9/9/2018,10,76,40,2.1
244,mar del plata,AR,-46.43,9/9/2018,15.38,35,0,3.76
245,cockburn town,TC,21.46,9/9/2018,28.33,100,44,5.46
246,poum,MK,41.28,9/9/2018,11.98,87,0,0.71
247,cuauhtemoc,MX,28.72,9/9/2018,37,42,40,2.1
248,lata,IN,30.78,9/9/2018,12.18,100,24,0.71
249,carbonia,IT,39.17,9/9/2018,25,88,75,4.6
250,palmer,AU,-34.85,9/9/2018,9,93,20,2.91
251,sept-iles,CA,50.2,9/9/2018,11,62,40,6.2
252,saskylakh,RU,71.97,9/9/2018,-0.08,86,76,1.71
253,vila franca do campo,PT,37.72,9/9/2018,24,83,20,1
254,turbat,PK,26,9/9/2018,23.63,89,76,1.41
255,tahlequah,US,35.92,9/9/2018,22,72,75,2.6
256,sooke,CA,48.37,9/9/2018,16.7,87,75,1.5
257,sivaki,RU,52.63,9/9/2018,-0.93,78,0,2.46
258,muzhi,RU,65.4,9/9/2018,-0.73,91,0,3.56
259,hokitika,NZ,-42.72,9/9/2018,9.18,100,56,1.41
260,evensk,RU,61.92,9/9/2018,11.33,100,92,4.61
261,manavalakurichi,IN,8.13,9/9/2018,26,88,40,2.6
262,along,IN,28.17,9/9/2018,19.68,98,92,0.71
263,gat,SN,14.69,9/9/2018,29,79,40,1
264,kavieng,PG,-2.57,9/9/2018,25.98,100,88,3.51
265,bjornevatn,NO,69.67,9/9/2018,11,71,8,10.3
266,wuwei,CN,37.93,9/9/2018,3.48,80,0,1.26
267,faanui,PF,-16.48,9/9/2018,25.23,100,36,3.21
268,nacala,MZ,-14.56,9/9/2018,24.33,98,80,4.31
269,nha trang,VN,12.24,9/9/2018,24.63,100,12,2.06
270,los llanos de aridane,ES,28.66,9/9/2018,23,73,44,7.7
271,katsuura,JP,33.93,9/9/2018,22,94,75,3.1
272,seoul,KR,37.57,9/9/2018,18,82,20,1.5
273,ancud,CL,-41.87,9/9/2018,13.68,62,0,1.16
274,sibenik,HR,45.81,9/9/2018,15.13,87,0,0.96
275,tautira,PF,-17.73,9/9/2018,28,58,20,2.1
276,kajaani,FI,64.22,9/9/2018,9,81,0,1.5
277,severo-yeniseyskiy,RU,60.37,9/9/2018,8.63,92,24,1.06
278,san cristobal,EC,-0.39,9/9/2018,16,51,75,8.2
279,puerto ayacucho,CO,5.66,9/9/2018,29,70,75,0.96
280,price,US,39.6,9/9/2018,30.6,15,1,3.6
281,pevek,RU,69.7,9/9/2018,11.48,74,36,5.46
282,deputatskiy,RU,69.3,9/9/2018,7.53,97,80,1.41
283,sechura,PE,-5.56,9/9/2018,23.08,73,0,6.06
284,sandnessjoen,NO,66.02,9/9/2018,17,59,92,8.7
285,viamao,BR,-30.08,9/9/2018,21,73,75,9.3
286,santa rosalia,IT,38.07,9/9/2018,24,78,0,4.1
287,luangwa,MZ,-15.62,9/9/2018,22.48,68,32,1.46
288,fairbanks,US,64.84,9/9/2018,8.3,66,1,1.26
289,pacific grove,US,36.62,9/9/2018,29,72,40,4.6
290,avarua,CK,-21.21,9/9/2018,28,69,20,1.5
291,jaleswar,IN,21.8,9/9/2018,26.38,96,80,3.81
292,vanimo,PG,-2.67,9/9/2018,24.38,100,92,0.76
293,savannah bight,HN,16.45,9/9/2018,27.68,100,68,8.81
294,boa vista,BR,2.82,9/9/2018,26,83,90,1.5
295,katangli,RU,51.71,9/9/2018,9.68,91,48,6.66
296,port hardy,CA,50.7,9/9/2018,15,93,75,4.6
297,mapiripan,CO,2.89,9/9/2018,28.63,93,12,1.86
298,chuy,UY,-33.69,9/9/2018,14.33,80,8,6.01
299,coquimbo,CL,-29.95,9/9/2018,12,87,75,5.1
300,padang,ID,-0.92,9/9/2018,27.43,100,12,1.26
301,popondetta,PG,-8.77,9/9/2018,19.53,96,92,0.71
302,tapes,BR,-30.67,9/9/2018,17.23,74,8,6.36
303,wichian buri,TH,15.66,9/9/2018,22.18,98,92,0.61
304,upernavik,GL,72.79,9/9/2018,4.23,98,68,1.16
305,northam,GB,51.04,9/9/2018,16,87,40,4.6
306,komsomolskiy,RU,67.55,9/9/2018,-1.28,82,56,1.21
307,anadyr,RU,64.73,9/9/2018,16,87,0,2
308,nalut,LY,31.86,9/9/2018,28.08,36,0,5.56
309,caravelas,BR,-17.73,9/9/2018,23.23,100,80,6.86
310,wanaka,NZ,-44.7,9/9/2018,3.23,98,92,1.21
311,nome,US,30.04,9/9/2018,30,80,40,3.1
312,bahir dar,ET,11.59,9/9/2018,13.23,92,64,1.36
313,premia de mar,ES,41.49,9/9/2018,24,78,64,1.5
314,oum hadjer,TD,13.3,9/9/2018,25.88,78,24,0.26
315,juneau,US,58.3,9/9/2018,19.4,37,75,9.8
316,trinidad,UY,-33.52,9/9/2018,19.98,42,0,6.61
317,pedasi,PA,7.53,9/9/2018,26.53,100,12,2.11
318,kruisfontein,ZA,-34,9/9/2018,11.08,100,0,1.41
319,kearney,US,40.7,9/9/2018,22.8,67,90,6.2
320,daru,SL,7.99,9/9/2018,22.28,100,92,2.21
321,katsina,NG,12.99,9/9/2018,22.73,91,0,1.31
322,bogalusa,US,30.79,9/9/2018,32.2,74,40,2.16
323,den helder,NL,52.96,9/9/2018,19,82,90,4.1
324,richards bay,ZA,-28.77,9/9/2018,13.78,86,32,6.06
325,sidi ali,DZ,36.1,9/9/2018,25.08,52,44,2.06
326,lavrentiya,RU,65.58,9/9/2018,10.58,91,8,1.01
327,rundu,NA,-17.91,9/9/2018,15.33,20,0,4.76
328,uva,RU,56.98,9/9/2018,9.68,77,92,1.86
329,quelimane,MZ,-17.88,9/9/2018,20.93,97,92,5.06
330,wilkie,CA,52.41,9/9/2018,15,62,90,9.3
331,jhalida,IN,23.36,9/9/2018,24,100,75,1.31
332,cassilandia,BR,-19.11,9/9/2018,31.33,22,0,1.96
333,houma,CN,35.63,9/9/2018,17.58,50,92,2.36
334,gazojak,TM,41.19,9/9/2018,19.68,36,0,5.36
335,limbang,BN,4.75,9/9/2018,26,94,75,0.5
336,xucheng,CN,33,9/9/2018,17.08,86,88,2.41
337,bilma,NE,18.69,9/9/2018,27.68,39,0,1.36
338,atar,MR,20.52,9/9/2018,37.58,17,88,5.21
339,kaeo,NZ,-35.1,9/9/2018,10.68,100,92,2.26
341,cabo rojo,PR,18.09,9/9/2018,29,23,5,5.7
342,altagracia de orituco,VE,9.86,9/9/2018,30.08,66,44,1.41
343,beringovskiy,RU,63.05,9/9/2018,12.58,94,0,2.31
344,vitim,RU,59.44,9/9/2018,-1.58,77,0,1.01
345,ormara,PK,25.21,9/9/2018,24.98,94,68,2.46
346,tateyama,JP,36.66,9/9/2018,18.08,100,100,0.06
347,riyadh,SA,24.63,9/9/2018,34,12,0,2.51
348,alofi,NU,-19.06,9/9/2018,25,73,92,5.1
349,luderitz,NA,-26.65,9/9/2018,13.68,64,0,2.56
350,luena,AO,-11.78,9/9/2018,17.38,92,36,1.16
351,kanor,IN,24.43,9/9/2018,21.88,97,92,4.91
352,esperance,TT,10.24,9/9/2018,30,70,40,4.1
353,umm lajj,SA,25.02,9/9/2018,26.23,100,0,2.71
354,nova gradiska,HR,45.26,9/9/2018,16,93,0,0.96
355,namatanai,PG,-3.66,9/9/2018,27.23,100,32,1.06
356,provideniya,RU,64.42,9/9/2018,14,67,0,2
357,itarema,BR,-2.92,9/9/2018,29.88,46,0,4.41
358,avera,US,33.19,9/9/2018,35.6,38,1,4.6
359,bhag,PK,29.04,9/9/2018,29.48,64,0,0.96
360,atambua,ID,-9.11,9/9/2018,22.68,100,0,3.91
361,kaffrine,SN,14.1,9/9/2018,29,83,75,3.1
362,tomatlan,MX,19.93,9/9/2018,31.83,58,20,3.51
363,diapaga,BF,12.07,9/9/2018,25.03,86,64,2.96
364,khuzdar,PK,27.8,9/9/2018,17.83,76,0,0.86
365,kijang,KR,35.24,9/9/2018,19,77,20,2.1
366,natagaima,CO,3.62,9/9/2018,30.08,39,0,1.71
367,moerai,PF,-22.43,9/9/2018,21.93,100,88,1.26
368,canandaigua,US,42.88,9/9/2018,15,69,1,2.76
369,san pedro de ycuamandiyu,PY,-24.09,9/9/2018,30.23,30,68,1.96
370,ilulissat,GL,69.22,9/9/2018,4,80,92,2.1
371,paptalaya,HN,15.5,9/9/2018,22.98,100,92,1.31
372,mitsamiouli,KM,-11.38,9/9/2018,25,73,20,7.2
373,aksarka,RU,66.56,9/9/2018,0.38,92,24,5.66
374,hervey bay,AU,-25.3,9/9/2018,17.58,100,0,4.51
375,siena,IT,43.32,9/9/2018,22,60,0,1
376,rocha,UY,-34.48,9/9/2018,14.53,59,8,5.06
377,poso,ID,-1.4,9/9/2018,25.23,100,24,2.11
378,zhangye,CN,38.94,9/9/2018,9.58,51,0,3.41
379,ghazipur,IN,25.59,9/9/2018,27.13,88,92,2.81
380,vila do maio,CV,15.13,9/9/2018,26,88,90,6.7
381,constitucion,MX,23.99,9/9/2018,17,100,90,4.11
382,vila velha,BR,-3.71,9/9/2018,27,69,0,5.1
383,sucua,EC,-2.46,9/9/2018,24.48,66,76,1.46
384,linjiang,CN,41.81,9/9/2018,3.68,82,64,1.21
385,sant feliu de guixols,ES,41.78,9/9/2018,20,100,20,1.66
386,loknya,RU,54.21,9/9/2018,17.18,46,92,2.41
387,zhireken,RU,52.82,9/9/2018,0.03,80,80,1.06
388,cheney,US,47.49,9/9/2018,22.2,29,20,3.1
389,tombouctou,ML,16.77,9/9/2018,29.83,62,24,2.86
390,luanda,AO,-8.83,9/9/2018,22,83,0,2.6
391,mkushi,ZM,-13.61,9/9/2018,25.18,35,56,4.31
392,yulara,AU,-25.24,9/9/2018,10,27,0,4.1
393,rudnya,RU,50.8,9/9/2018,12.23,70,8,1.26
394,nhulunbuy,AU,-12.18,9/9/2018,20,100,40,8.06
395,fort smith,US,35.39,9/9/2018,24.4,66,90,1.5
396,garowe,SO,8.41,9/9/2018,28.48,39,0,6.41
397,roald,NO,62.58,9/9/2018,16,76,75,3.6
398,nova aurora,BR,-18.06,9/9/2018,26.23,23,0,2.76
399,norman wells,CA,65.28,9/9/2018,8,65,75,1.5
400,romitan,UZ,39.93,9/9/2018,20,40,0,2.1
401,dovbysh,UA,50.37,9/9/2018,16.83,63,80,5.46
402,silver city,US,32.77,9/9/2018,30.6,24,1,5.7
403,oranjemund,ZA,-28.55,9/9/2018,15.33,87,0,9.51
404,panormos,GR,38.37,9/9/2018,19.18,100,0,1.76
405,carinhanha,BR,-14.3,9/9/2018,26.78,31,0,3.66
406,kavaratti,IN,10.57,9/9/2018,27.73,100,88,3.86
407,loandjili,CG,-4.77,9/9/2018,24,88,75,2.6
408,kieta,PG,-6.22,9/9/2018,25.68,100,92,1.86
409,stanghelle,NO,60.55,9/9/2018,9.88,95,92,1.41
410,marieville,CA,45.43,9/9/2018,17,41,1,3.6
411,lasa,CY,34.92,9/9/2018,24,60,0,3.1
412,dakar,SN,14.69,9/9/2018,27,83,20,4.1
413,mantena,BR,-18.78,9/9/2018,23.28,48,0,3.66
414,qujing,CN,25.49,9/9/2018,14.33,87,88,1.76
415,tilichiki,RU,60.47,9/9/2018,11.23,100,92,1.71
416,maningrida,AU,-12.05,9/9/2018,21.68,82,0,5.56
417,mizan teferi,ET,6.99,9/9/2018,16.23,86,44,1.21
418,lorengau,PG,-2.02,9/9/2018,25.68,100,92,3.11
419,gashua,NG,12.87,9/9/2018,25.18,89,20,1.66
420,yarmouth,GB,50.71,9/9/2018,17,87,0,2.6
421,middle island,US,40.88,9/9/2018,17.8,75,90,1.5
422,dicabisagan,PH,17.08,9/9/2018,23.68,100,56,2.36
423,kirakira,SB,-10.46,9/9/2018,25.58,100,80,4.41
424,sinnamary,GF,5.38,9/9/2018,28.23,94,0,4.11
425,spornoye,RU,50.84,9/9/2018,15,77,0,5
